"","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Season","Match_Date","Home_Win","Away_Win","Draw"
"283","Sheffield Weds","Sheffield United",3,1,"H","1993-94",1994-01-22,1,0,0
"284","Swindon","Tottenham",2,1,"H","1993-94",1994-01-22,1,0,0
"285","Blackburn","Leeds",2,1,"H","1993-94",1994-01-23,1,0,0
"286","West Ham","Norwich",3,3,"D","1993-94",1994-01-24,0,0,1
"287","Coventry","Ipswich",1,0,"H","1993-94",1994-02-02,1,0,0
"288","Blackburn","Wimbledon",3,0,"H","1993-94",1994-02-05,1,0,0
"289","Everton","Chelsea",4,2,"H","1993-94",1994-02-05,1,0,0
"290","Man City","Ipswich",2,1,"H","1993-94",1994-02-05,1,0,0
"291","Norwich","Liverpool",2,2,"D","1993-94",1994-02-05,0,0,1
"292","Oldham","Southampton",2,1,"H","1993-94",1994-02-05,1,0,0
"293","QPR","Man United",2,3,"A","1993-94",1994-02-05,0,1,0
"294","Swindon","Coventry",3,1,"H","1993-94",1994-02-05,1,0,0
"295","Tottenham","Sheffield Weds",1,3,"A","1993-94",1994-02-05,0,1,0
"296","Aston Villa","Leeds",1,0,"H","1993-94",1994-02-06,1,0,0
"297","Aston Villa","Swindon",5,0,"H","1993-94",1994-02-12,1,0,0
"298","Everton","Ipswich",0,0,"D","1993-94",1994-02-12,0,0,1
"299","Man City","West Ham",0,0,"D","1993-94",1994-02-12,0,0,1
"300","Oldham","Chelsea",2,1,"H","1993-94",1994-02-12,1,0,0
"301","Sheffield United","Coventry",0,0,"D","1993-94",1994-02-12,0,0,1
"302","Tottenham","Blackburn",0,2,"A","1993-94",1994-02-12,0,1,0
"303","Wimbledon","Newcastle",4,2,"H","1993-94",1994-02-12,1,0,0
"304","Norwich","Arsenal",1,1,"D","1993-94",1994-02-13,0,0,1
"305","Southampton","Liverpool",4,2,"H","1993-94",1994-02-14,1,0,0
"306","Blackburn","Newcastle",1,0,"H","1993-94",1994-02-19,1,0,0
"307","Coventry","Man City",4,0,"H","1993-94",1994-02-19,1,0,0
"308","Everton","Arsenal",1,1,"D","1993-94",1994-02-19,0,0,1
"309","Leeds","Liverpool",2,0,"H","1993-94",1994-02-19,1,0,0
"310","Swindon","Norwich",3,3,"D","1993-94",1994-02-19,0,0,1
"311","Aston Villa","Man City",0,0,"D","1993-94",1994-02-22,0,0,1
"312","Norwich","Blackburn",2,2,"D","1993-94",1994-02-22,0,0,1
"313","Newcastle","Coventry",4,0,"H","1993-94",1994-02-23,1,0,0
"314","Arsenal","Blackburn",1,0,"H","1993-94",1994-02-26,1,0,0
"315","Ipswich","Sheffield United",3,2,"H","1993-94",1994-02-26,1,0,0
"316","Liverpool","Coventry",1,0,"H","1993-94",1994-02-26,1,0,0
"317","Man City","Swindon",2,1,"H","1993-94",1994-02-26,1,0,0
"318","Norwich","Sheffield Weds",1,1,"D","1993-94",1994-02-26,0,0,1
"319","Southampton","Wimbledon",1,0,"H","1993-94",1994-02-26,1,0,0
"320","West Ham","Man United",2,2,"D","1993-94",1994-02-26,0,0,1
"321","Chelsea","Tottenham",4,3,"H","1993-94",1994-02-27,1,0,0
"322","Oldham","Leeds",1,1,"D","1993-94",1994-02-28,0,0,1
"323","Tottenham","Aston Villa",1,1,"D","1993-94",1994-03-02,0,0,1
"324","Blackburn","Liverpool",2,0,"H","1993-94",1994-03-05,1,0,0
